id,nome_completo,nome_urna,partido_atual,cargo_atual,uf_sede,promessas_campanha,redes_sociais,foto_url,data_atualizacao,id_externo_api,fonte_api,casa_legislativa,foto_status
196c7720-653a-4254-85b9-11e490a18bfd,Diego Garcia,Diego Garcia,REPUBLICANOS,Deputado Federal,PR,,,https://www.camara.leg.br/internet/deputado/bandep/178929.jpg,2026-02-14 18:20:55.022+00,CAMARA-BR-178929,Sincronização Lote 2026,Câmara,ok
19a4c9cb-571f-44d5-b6c9-52232ede341f,Rogéria Santos,Rogéria Santos,REPUBLICANOS,Deputado Federal,BA,,,https://www.camara.leg.br/internet/deputado/bandep/220695.jpg,2026-02-14 18:21:13.06+00,CAMARA-BR-220695,Sincronização Lote 2026,Câmara,ok
19e4eede-ace8-4cee-bd88-087a10827f33,Eduardo Leite,Eduardo Leite,PSDB,Governador,RS,,,https://www.rs.gov.br/eduardo.jpg,2026-02-01 17:07:41.574+00,GOV-BR-RS,Sincronização Integridade 2026,,nao_verificado
1a66d798-e49e-464c-bea3-9d6db2330ba0,Eliziane Pereira Gama Melo,Eliziane Gama,PSD,Senador,MA,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,2026-02-14 18:21:21.442+00,SENADO-BR-5718,Sincronização Lote 2026,Senado,quebrado
1ae3e6d6-1947-481b-9507-871edeba7f6d,Gervásio Maia,Gervásio Maia,PSB,Deputado Federal,PB,,,https://www.camara.leg.br/internet/deputado/bandep/204394.jpg,2026-02-14 18:20:59.925+00,CAMARA-BR-204394,Sincronização Lote 2026,Câmara,ok
1b4c7e63-e309-4f7c-aaee-ec1c4d5354a3,Zezinho Barbary,Zezinho Barbary,PP,Deputado Federal,AC,,,https://www.camara.leg.br/internet/deputado/bandep/220592.jpg,2026-02-14 18:21:17.248+00,CAMARA-BR-220592,Sincronização Lote 2026,Câmara,ok
1c19d490-79d0-4078-bd0c-cfa38caf358e,Diego Coronel,Diego Coronel,PSD,Deputado Federal,BA,,,https://www.camara.leg.br/internet/deputado/bandep/220691.jpg,2026-02-14 18:20:54.984+00,CAMARA-BR-220691,Sincronização Lote 2026,Câmara,ok
1cea6a81-5a85-4e37-a408-109fcd625ead,Pedro Lucas Fernandes,Pedro Lucas Fernandes,UNIÃO,Deputado Federal,MA,,,https://www.camara.leg.br/internet/deputado/bandep/122974.jpg,2026-02-14 18:21:10.779+00,CAMARA-BR-122974,Sincronização Lote 2026,Câmara,ok
1d1250cb-3f61-499b-8d47-dd00e66ce5ce,Raquel Lyra,Raquel Lyra,PSDB,Governador,PE,,,https://www.pe.gov.br/raquel.jpg,2026-02-01 17:07:41.282+00,GOV-BR-PE,Sincronização Integridade 2026,,nao_verificado
1d20117f-7dd1-4759-9492-1097fd5a4ec1,Icaro de Valmir,Icaro de Valmir,PL,Deputado Federal,SE,,,https://www.camara.leg.br/internet/deputado/bandep/220563.jpg,2026-02-14 18:21:01.156+00,CAMARA-BR-220563,Sincronização Lote 2026,Câmara,ok
1d7d6fc4-6699-47ec-8ae7-6490d4b54a2f,Raimundo Santos,Raimundo Santos,PSD,Deputado Federal,PA,,,https://www.camara.leg.br/internet/deputado/bandep/74084.jpg,2026-02-14 18:21:11.822+00,CAMARA-BR-74084,Sincronização Lote 2026,Câmara,ok
1de17fef-ec6f-49cc-99f2-fab3082aefa6,Célia Xakriabá,Célia Xakriabá,PSOL,Deputado Federal,MG,,,https://www.camara.leg.br/internet/deputado/bandep/206018.jpg,2026-02-14 18:20:52.489+00,CAMARA-BR-206018,Sincronização Lote 2026,Câmara,ok
1e333e1d-5bdf-4373-a2d0-26cf2a67d733,Pedro Uczai,Pedro Uczai,PT,Deputado Federal,SC,,,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg,2026-02-14 18:21:10.69+00,CAMARA-BR-160604,Sincronização Lote 2026,Câmara,ok
1ee3ae02-3c92-4b54-81f0-36d7a7e9e2d4,Guilherme Derrite,Guilherme Derrite,PP,Deputado Federal,SP,,,https://www.camara.leg.br/internet/deputado/bandep/204531.jpg,2026-02-14 18:21:00.128+00,CAMARA-BR-204531,Sincronização Lote 2026,Câmara,ok
